Date,Interest Rate
22-Dec,4.5
22-Nov,4
22-Oct,3.5
22-Sep,3.5
22-Aug,2.75
22-Jul,2.75
22-Jun,1.75
22-May,1.25
22-Apr,1.25
22-Mar,0.75
22-Feb,0.5
22-Jan,0.5
21-Dec,0.5
21-Nov,0.5
21-Oct,0.5
21-Sep,0.5
21-Aug,0.5
21-Jul,0.5
21-Jun,0.5
21-May,0.5
21-Apr,0.5
21-Mar,0.5
21-Feb,0.5
21-Jan,0.5
20-Dec,0.5
20-Nov,0.5
20-Oct,0.5
20-Sep,0.5
20-Aug,0.5
20-Jul,0.5
20-Jun,0.5
20-May,0.5
20-Apr,0.5
20-Mar,1
20-Feb,2
20-Jan,2
19-Dec,2
19-Nov,2
19-Oct,2
19-Sep,2
19-Aug,2
19-Jul,2
19-Jun,2
19-May,2
19-Apr,2
19-Mar,2
19-Feb,2
19-Jan,2
18-Dec,2
18-Nov,2
18-Oct,2
18-Sep,1.75
18-Aug,1.75
18-Jul,1.75
18-Jun,1.5
18-May,1.5
18-Apr,1.5
18-Mar,1.5
18-Feb,1.5
18-Jan,1.5
17-Dec,1.25
17-Nov,1.25
17-Oct,1.25
17-Sep,1.25
17-Aug,1
17-Jul,1
17-Jun,0.75
17-May,0.75
17-Apr,0.75
17-Mar,0.75
17-Feb,0.75
17-Jan,0.75
16-Dec,0.75
16-Nov,0.75
16-Oct,0.75
16-Sep,0.75
16-Aug,0.75
16-Jul,0.75
16-Jun,0.75
16-May,0.75
16-Apr,0.75
16-Mar,0.75
16-Feb,0.75
16-Jan,0.75
15-Dec,0.75
15-Nov,0.75
15-Oct,0.75
15-Sep,0.75
15-Aug,0.75
15-Jul,0.75
15-Jun,1
15-May,1
15-Apr,1
15-Mar,1
15-Feb,1
15-Jan,1
14-Dec,1.25
14-Nov,1.25
14-Oct,1.25
14-Sep,1.25
14-Aug,1.25
14-Jul,1.25
14-Jun,1.25
14-May,1.25
14-Apr,1.25
14-Mar,1.25
14-Feb,1.25
14-Jan,1.25
13-Dec,1.25
13-Nov,1.25
13-Oct,1.25
13-Sep,1.25
13-Aug,1.25
13-Jul,1.25
13-Jun,1.25
13-May,1.25
13-Apr,1.25
13-Mar,1.25
13-Feb,1.25
13-Jan,1.25
