TERMS AND CONDITIONS,,,,
https://www.bankofcanada.ca/terms/,,,,
https://www.bankofcanada.ca/rates/indicators/capacity-and-inflation-pressures/inflation/,,,,
NAME,,,,
Inflation (year-over-year percentage change),,,,
,,,,
DESCRIPTION,,,,
Inflation (year-over-year percentage change),,,,
,,,,
LINK,,,,
https://www.bankofcanada.ca/?p=39824,,,,
,,,,
SERIES,,,,
id,label,description,,
INDINF_CPI_Q,CPI Inflation,Total CPI,,
INDINF_CPI_TRIM_Q,CPI-trim,CPI-trim,,
INDINF_CPI_MEDIAN_Q,CPI-median,CPI-median,,
INDINF_CPI_COMMON_Q,CPI-common,CPI-common,,
,,,,
OBSERVATIONS,,,,
date,INDINF_CPI_Q,INDINF_CPI_TRIM_Q,INDINF_CPI_MEDIAN_Q,INDINF_CPI_COMMON_Q
1993Q1,2.2,2,2,1.8
1993Q2,1.8,1.9,1.9,1.7
1993Q3,1.8,1.8,1.7,1.4
1993Q4,1.8,1.8,1.7,1.4
1994Q1,0.5,1.5,1.6,1.1
1994Q2,0,1.4,1.5,0.9
1994Q3,0.1,1.4,1.5,0.7
1994Q4,0,1.4,1.5,0.7
1995Q1,1.5,1.9,1.8,1.2
1995Q2,2.7,2.2,2.1,1.6
1995Q3,2.3,2.1,2,1.8
1995Q4,2,1.9,1.7,1.6
1996Q1,1.5,1.4,1.4,1
1996Q2,1.5,1.2,1.2,1.1
1996Q3,1.4,1.2,1.2,1
1996Q4,2.1,1.3,1.4,1.4
1997Q1,2.2,1.4,1.3,1.6
1997Q2,1.6,1.3,1.2,1.5
1997Q3,1.8,1.1,1.1,1.4
1997Q4,1,0.9,0.9,1.2
1998Q1,1,1.1,1.1,1.4
1998Q2,1,0.9,1.1,1.5
1998Q3,0.8,1.1,1.2,1.7
1998Q4,1.1,1.2,1.3,1.8
1999Q1,0.8,1,1.1,1.8
1999Q2,1.6,1.3,1.2,2
1999Q3,2.2,1.4,1.2,1.9
1999Q4,2.4,1.5,1.3,1.8
2000Q1,2.6,1.6,1.4,1.7
2000Q2,2.5,1.6,1.4,1.6
2000Q3,2.8,1.8,1.6,1.8
2000Q4,3,2,1.8,1.9
2001Q1,2.8,2.2,2.1,2.2
2001Q2,3.6,2.4,2.2,2.4
2001Q3,2.7,2.4,2.3,2.5
2001Q4,1.1,2,2.1,2.4
2002Q1,1.6,2,2,2.3
2002Q2,1.3,2,2,2.3
2002Q3,2.3,2,2.1,2.3
2002Q4,3.8,2.2,2.2,2.3
2003Q1,4.5,2.2,2.3,2.5
2003Q2,2.8,2,2.1,2
2003Q3,2.1,1.8,2,1.9
2003Q4,1.7,1.7,1.9,1.9
2004Q1,1,1.6,1.6,1.6
2004Q2,2.1,1.6,1.7,2
2004Q3,1.9,1.7,1.6,1.8
2004Q4,2.3,1.8,1.8,2
2005Q1,2.1,1.8,1.9,2
2005Q2,1.9,1.8,1.9,2
2005Q3,2.7,1.7,1.8,2.1
2005Q4,2.2,1.7,1.8,2
2006Q1,2.4,1.8,1.8,2
2006Q2,2.6,1.8,1.9,1.9
2006Q3,1.7,2.1,2,2.1
2006Q4,1.4,2.5,2.2,2.3
2007Q1,1.8,2.7,2.4,2.4
2007Q2,2.2,2.8,2.6,2.6
2007Q3,2.2,2.6,2.6,2.4
2007Q4,2.4,2.2,2.4,2.2
2008Q1,1.8,2.2,2.5,2.3
2008Q2,2.3,2.3,2.5,2.4
2008Q3,3.4,2.5,2.6,2.8
2008Q4,2,2.6,2.7,3.2
2009Q1,1.2,2.4,2.5,3.2
2009Q2,0.1,2,2.2,3.1
2009Q3,-0.9,1.5,1.8,2.5
2009Q4,0.8,1.4,1.7,2.1
2010Q1,1.6,1.2,1.6,1.7
2010Q2,1.4,1.2,1.6,1.1
2010Q3,1.8,1.3,1.6,1.1
2010Q4,2.3,1.3,1.6,1.1
2011Q1,2.6,1.3,1.6,1.4
2011Q2,3.4,1.7,1.9,1.8
2011Q3,3,2,2,2
2011Q4,2.6,2,2,2
2012Q1,2.4,2.1,2,1.9
2012Q2,1.6,1.7,1.8,1.8
2012Q3,1.2,1.5,1.6,1.5
2012Q4,1,1.2,1.7,1.5
2013Q1,0.9,1.1,1.6,1.4
2013Q2,0.7,1.1,1.6,1.2
2013Q3,1.1,1.2,1.6,1.2
2013Q4,0.9,1.3,1.5,1
2014Q1,1.4,1.5,1.6,1.2
2014Q2,2.2,1.7,1.8,1.3
2014Q3,2,1.7,1.7,1.3
2014Q4,2,1.7,1.8,1.5
2015Q1,1,1.6,1.8,1.5
2015Q2,1,1.5,1.6,1.6
2015Q3,1.2,1.6,1.8,1.8
2015Q4,1.3,1.8,2,1.9
2016Q1,1.6,1.8,2,1.8
2016Q2,1.5,2,2.2,1.7
2016Q3,1.3,1.8,2,1.5
2016Q4,1.4,1.7,2,1.2
2017Q1,1.9,1.5,1.8,1.1
2017Q2,1.3,1.2,1.6,0.9
2017Q3,1.4,1.4,1.7,1.2
2017Q4,1.8,1.6,1.7,1.4
2018Q1,2.1,1.9,1.9,1.8
2018Q2,2.3,1.9,1.9,1.9
2018Q3,2.7,2,1.9,2
2018Q4,2.1,1.9,1.9,1.8
2019Q1,1.6,2,1.9,1.8
2019Q2,2.2,2.1,2,2
2019Q3,1.9,2,2,2.1
2019Q4,2.1,2.1,2,2.3
2020Q1,1.8,2,2,1.9
2020Q2,0,1.8,1.9,1.2
2020Q3,0.2,1.7,1.9,1.1
2020Q4,0.7,1.8,2,1.5
2021Q1,1.5,1.9,2.1,1.7
2021Q2,3.4,2.5,2.4,2.7
2021Q3,4.1,3.2,2.9,3.3
2021Q4,4.7,3.5,3,3.5
2022Q1,5.8,4.3,3.7,4.6
2022Q2,7.5,5.3,4.6,6
2022Q3,7.2,5.3,4.8,6.4
