"Date","Prime Rate","Bank of Canada Overnight Rate"
"January 1935","5.5","2.5"
"January 1936","5.21","2.5"
"January 1937","5","2.5"
"January 1938","5","2.5"
"January 1939","5","2.5"
"January 1940","5","2.5"
"January 1941","5","2.5"
"January 1942","5","2.5"
"January 1943","5","2.5"
"January 1944","4.92","1.58"
"January 1945","4.5","1.5"
"January 1946","4.5","1.5"
"January 1947","4.5","1.5"
"January 1948","4.5","1.5"
"January 1949","4.5","1.5"
"January 1950","4.5","1.62"
"January 1951","4.5","2"
"January 1952","4.5","2"
"January 1953","4.5","2"
"January 1954","4.5","2"
"January 1955","4.5","1.9"
"January 1956","5.04","3.15"
"January 1957","5.58","4.02"
"January 1958","5.27","2.5"
"January 1959","5.65","5.13"
"January 1960","5.75","4.66"
"February 1960","5.75","4.62"
"March 1960","5.75","3.41"
"April 1960","5.75","3.5"
"May 1960","5.75","2.99"
"June 1960","5.75","3.07"
"July 1960","5.75","3.19"
"August 1960","5.75","2.25"
"September 1960","5.75","1.68"
"October 1960","5.75","2.87"
"November 1960","5.75","3.7699999999999996"
"December 1960","5.75","3.46"
"January 1961","5.6","3.22"
"February 1961","5.6","2.86"
"March 1961","5.6","3.21"
"April 1961","5.6","3.32"
"May 1961","5.6","3.17"
"June 1961","5.6","2.55"
"July 1961","5.6","2.63"
"August 1961","5.6","2.51"
"September 1961","5.6","2.42"
"October 1961","5.6","2.49"
"November 1961","5.6","2.42"
"December 1961","5.6","2.93"
"January 1962","5.71","3.1"
"February 1962","5.71","3.17"
"March 1962","5.71","3.1"
"April 1962","5.71","3.1"
"May 1962","5.71","3.5"
"June 1962","5.71","5.75"
"July 1962","5.71","5.75"
"August 1962","5.71","5.75"
"September 1962","5.71","5.25"
"October 1962","5.71","4.75"
"November 1962","5.71","3.75"
"December 1962","5.71","3.75"
"January 1963","5.75","3.75"
"February 1963","5.75","3.75"
"March 1963","5.75","3.75"
"April 1963","5.75","3.75"
"May 1963","5.75","3.25"
"June 1963","5.75","3.25"
"July 1963","5.75","3.25"
"August 1963","5.75","3.75"
"September 1963","5.75","3.75"
"October 1963","5.75","3.75"
"November 1963","5.75","3.75"
"December 1963","5.75","3.75"
"January 1964","5.75","3.75"
"February 1964","5.75","3.75"
"March 1964","5.75","3.75"
"April 1964","5.75","3.75"
"May 1964","5.75","3.75"
"June 1964","5.75","3.75"
"July 1964","5.75","3.75"
"August 1964","5.75","3.75"
"September 1964","5.75","3.75"
"October 1964","5.75","3.75"
"November 1964","5.75","4"
"December 1964","5.75","4"
"January 1965","5.77","4"
"February 1965","5.77","4"
"March 1965","5.77","4"
"April 1965","5.77","4"
"May 1965","5.77","4"
"June 1965","5.77","4"
"July 1965","5.77","4"
"August 1965","5.77","4"
"September 1965","5.77","4"
"October 1965","5.77","4"
"November 1965","5.77","4"
"December 1965","5.77","4.5"
"January 1966","6","4.5"
"February 1966","6","4.5"
"March 1966","6","5"
"April 1966","6","5"
"May 1966","6","5"
"June 1966","6","5"
"July 1966","6","5"
"August 1966","6","5"
"September 1966","6","5"
"October 1966","6","5"
"November 1966","6","5"
"December 1966","6","5"
"January 1967","5.92","5"
"February 1967","5.92","4.75"
"March 1967","5.92","4.75"
"April 1967","5.92","4.25"
"May 1967","5.92","4.25"
"June 1967","5.92","4.25"
"July 1967","5.92","4.25"
"August 1967","5.92","4.25"
"September 1967","5.92","4.75"
"October 1967","5.92","4.75"
"November 1967","5.92","5.75"
"December 1967","5.92","5.75"
"January 1968","6.92","6.75"
"February 1968","6.92","6.75"
"March 1968","6.92","7.25"
"April 1968","6.92","7.25"
"May 1968","6.92","7.25"
"June 1968","6.92","7.25"
"July 1968","6.92","6.25"
"August 1968","6.92","6.25"
"September 1968","6.92","5.75"
"October 1968","6.92","5.75"
"November 1968","6.92","5.75"
"December 1968","6.92","6.25"
"January 1969","7.96","6.25"
"February 1969","7.96","6.25"
"March 1969","7.96","6.75"
"April 1969","7.96","6.75"
"May 1969","7.96","6.75"
"June 1969","7.96","7.25"
"July 1969","7.96","7.75"
"August 1969","7.96","7.75"
"September 1969","7.96","7.75"
"October 1969","7.96","7.75"
"November 1969","7.96","7.75"
"December 1969","7.96","7.75"
"January 1970","8.17","7.75"
"February 1970","8.17","7.75"
"March 1970","8.17","7.75"
"April 1970","8.17","7.75"
"May 1970","8.17","7.25"
"June 1970","8.17","6.75"
"July 1970","8.17","6.75"
"August 1970","8.17","6.75"
"September 1970","8.17","6.25"
"October 1970","8.17","6.25"
"November 1970","8.17","5.75"
"December 1970","8.17","5.75"
"January 1971","6.48","5.75"
"February 1971","6.48","5"
"March 1971","6.48","5"
"April 1971","6.48","5"
"May 1971","6.48","5"
"June 1971","6.48","5"
"July 1971","6.48","5"
"August 1971","6.48","5"
"September 1971","6.48","5"
"October 1971","6.48","4.5"
"November 1971","6.48","4.5"
"December 1971","6.48","4.5"
"January 1972","6","4.5"
"February 1972","6","4.5"
"March 1972","6","4.5"
"April 1972","6","4.5"
"May 1972","6","4.5"
"June 1972","6","4.5"
"July 1972","6","4.5"
"August 1972","6","4.5"
"September 1972","6","4.5"
"October 1972","6","4.5"
"November 1972","6","4.5"
"December 1972","6","4.5"
"January 1973","7.65","4.5"
"February 1973","7.65","4.5"
"March 1973","7.65","4.5"
"April 1973","7.65","5"
"May 1973","7.65","5.5"
"June 1973","7.65","6"
"July 1973","7.65","6"
"August 1973","7.65","6.5"
"September 1973","7.65","7"
"October 1973","7.65","7"
"November 1973","7.65","7"
"December 1973","7.65","7"
"January 1974","10.75","7"
"February 1974","10.75","7"
"March 1974","10.75","8"
"May 1974","10.75","8.5"
"June 1974","10.75","8.5"
"July 1974","10.75","9"
"August 1974","10.75","9"
"September 1974","10.75","9"
"October 1974","10.75","9"
"November 1974","10.75","8.5"
"December 1974","11","8.5"
"January 1975","10.5","8"
"February 1975","9.5","8"
"March 1975","9","8"
"April 1975","9","8"
"May 1975","9","8"
"June 1975","9","8"
"July 1975","9","8"
"August 1975","9","8"
"September 1975","9.75","8.75"
"October 1975","9.75","8.75"
"November 1975","9.75","8.75"
"December 1975","9.75","8.75"
"January 1976","9.75","8.75"
"February 1976","9.75","8.75"
"March 1976","10.25","9.25"
"April 1976","10.25","9.25"
"May 1976","10.25","9.25"
"June 1976","10.25","9.25"
"July 1976","10.25","9.25"
"August 1976","10.25","9.25"
"September 1976","10.25","9.25"
"October 1976","10.25","9.25"
"November 1976","9.75","8.75"
"December 1976","9.25","8.25"
"January 1977","9.25","8.25"
"February 1977","8.75","7.75"
"March 1977","8.75","7.75"
"April 1977","8.75","7.75"
"May 1977","8.25","7.25"
"June 1977","8.25","7.25"
"July 1977","8.25","7.25"
"August 1977","8.25","7.25"
"September 1977","8.25","7.25"
"October 1977","8.25","7.25"
"November 1977","8.25","7.25"
"December 1977","8.25","7.25"
"January 1978","8.25","7.25"
"February 1978","8.25","7.25"
"March 1978","8.75","7.75"
"April 1978","9.25","8.25"
"May 1978","9.25","8.25"
"June 1978","9.25","8.25"
"July 1978","9.25","8.75"
"August 1978","9.75","8.75"
"September 1978","10.25","9.25"
"October 1978","11","10"
"November 1978","11.5","10.5"
"December 1978","11.5","10.5"
"January 1979","12","11"
"February 1979","12","11"
"March 1979","12","11"
"April 1979","12","11"
"May 1979","12","11"
"June 1979","12","11"
"July 1979","12.5","11.5"
"August 1979","12.5","11.5"
"September 1979","13","12"
"October 1979","14.75","13.75"
"November 1979","15","13.75"
"December 1979","15","13.75"
"January 1980","15","13.75"
"February 1980","15","13.75"
"March 1980","15.75","14.54"
"April 1980","16.75","15.42"
"May 1980","13.75","11.58"
"June 1980","13.25","10.42"
"July 1980","12.25","9.93"
"August 1980","12.25","10.2"
"September 1980","12.25","10.77"
"October 1980","12.75","11.51"
"November 1980","13.75","12.81"
"December 1980","18.25","17.01"
"January 1981","18.25","16.75"
"February 1981","18.25","16.89"
"March 1981","17.75","16.34"
"April 1981","18.25","17.15"
"May 1981","19.5","18.81"
"June 1981","20","18.82"
"July 1981","21","19.64"
"August 1981","22.75","20.78"
"September 1981","21.25","19.38"
"October 1981","20","18.05"
"November 1981","17.25","15.15"
"December 1981","17.25","14.41"
"January 1982","16.5","14.47"
"February 1982","16.5","14.49"
"March 1982","17","14.86"
"April 1982","17","15.07"
"May 1982","17","15.07"
"June 1982","18.25","16.33"
"July 1982","17.25","15.35"
"August 1982","16","14.01"
"September 1982","15","12.93"
"October 1982","13.75","11.28"
"November 1982","13","10.62"
"December 1982","12.5","10.01"
"January 1983","12","9.56"
"February 1983","11.5","9.18"
"March 1983","11.5","9.17"
"April 1983","11","9.21"
"May 1983","11","9.13"
"June 1983","11","9.17"
"July 1983","11","9.26"
"August 1983","11","9.32"
"September 1983","11","9.27"
"October 1983","11","9.2"
"November 1983","11","9.38"
"December 1983","11","9.79"
"January 1984","11","9.73"
"February 1984","11","9.79"
"March 1984","11.5","10.51"
"April 1984","11.5","10.57"
"May 1984","12","11.35"
"June 1984","12.5","11.73"
"July 1984","13.5","12.99"
"August 1984","13","12.14"
"September 1984","13","12.03"
"October 1984","12.5","11.46"
"November 1984","12","10.53"
"December 1984","11.25","9.91"
"January 1985","11","9.41"
"February 1985","11.5","10.7"
"March 1985","11.75","10.93"
"April 1985","10.75","9.5"
"May 1985","10.5","9.34"
"June 1985","10.5","9.32"
"July 1985","10.5","9.06"
"August 1985","10.25","8.95"
"September 1985","10.25","9.06"
"October 1985","10","8.52"
"November 1985","10","8.73"
"December 1985","10","9.24"
"January 1986","11","10.08"
"February 1986","13","11.59"
"March 1986","12","10.19"
"April 1986","11.25","9.02"
"May 1986","10.25","8.18"
"June 1986","10.25","8.59"
"July 1986","9.75","8.38"
"August 1986","9.75","8.33"
"September 1986","9.75","8.38"
"October 1986","9.75","8.37"
"November 1986","9.75","8.22"
"December 1986","9.75","8.24"
"January 1987","9.25","7.49"
"February 1987","9.25","7.34"
"March 1987","8.75","6.89"
"April 1987","9.25","8.01"
"May 1987","9.5","8.29"
"June 1987","9.5","8.34"
"July 1987","9.5","8.51"
"August 1987","10","8.99"
"September 1987","10","9.32"
"October 1987","9.75","8.01"
"November 1987","9.75","8.23"
"December 1987","9.75","8.41"
"January 1988","9.75","8.38"
"February 1988","9.75","8.33"
"March 1988","9.75","8.53"
"April 1988","10.25","8.81"
"May 1988","10.25","8.87"
"June 1988","10.75","9.19"
"July 1988","10.75","9.28"
"August 1988","11.25","9.78"
"September 1988","11.75","10.29"
"October 1988","11.75","10.26"
"November 1988","11.75","10.59"
"December 1988","12.25","10.92"
"January 1989","12.25","11.29"
"February 1989","12.75","11.45"
"March 1989","13.5","12.15"
"April 1989","13.5","12.36"
"May 1989","13.5","12.15"
"June 1989","13.5","12.06"
"July 1989","13.5","12.07"
"August 1989","13.5","12.15"
"September 1989","13.5","12.22"
"October 1989","13.5","12.18"
"November 1989","13.5","12.22"
"December 1989","13.5","12.22"
"January 1990","13.5","12.04"
"February 1990","14.25","13"
"March 1990","14.25","13.13"
"April 1990","14.75","13.52"
"May 1990","14.75","13.8"
"June 1990","14.75","13.65"
"July 1990","14.75","13.34"
"August 1990","14.25","12.76"
"September 1990","13.75","12.36"
"October 1990","13.75","12.41"
"November 1990","13.25","12"
"December 1990","12.75","11.53"
"January 1991","12.25","10.63"
"February 1991","11.25","9.77"
"March 1991","11.25","9.67"
"April 1991","10.25","9.41"
"May 1991","9.75","8.82"
"June 1991","9.75","8.66"
