Consensus Metropolitan Areas,2013,2014,2015,2016,2017,2018,2019,2020,2021
Abbotsford-Mission,803.5,815.2,805.8,843.4,916.5,925.3,1109.0,1134.0,1299.9
Barrie,1014.4,1040.1,1081.8,1110.3,1122.1,1229.2,1293.0,1319.2,1374.3
Brantford,836.1,859.7,864.3,919.8,950.2,963.5,1015.1,1096.1,1155.6
Calgary,1103.3,1182.2,1182.6,1125.8,1114.3,1137.1,1166.7,1192.3,1223.3
Charlottetown,766.6,774.2,787.9,816.6,850.2,872.8,903.3,955.6,985.9
Edmonton,1056.1,1132.3,1155.3,1120.1,1132.2,1123.4,1135.6,1138.9,1146.3
Greater Sudbury,843.1,848.7,880.7,895.0,964.8,963.5,1017.3,1043.8,1171.0
Guelph,930.3,957.6,983.7,1023.7,1061.6,1101.5,1191.7,1289.1,1299.9
Halifax,936.3,952.1,994.0,1021.2,1040.1,1082.5,1117.3,1161.1,1242.6
Hamilton,884.0,902.7,964.4,993.9,1036.1,1111.0,1156.9,1216.8,1280.2
Kelowna,875.4,896.1,884.1,966.7,1076.1,1148.7,1262.7,1323.6,1410.7
Kingston,1010.6,1013.6,1043.5,1146.3,1139.8,1223.6,1265.8,1312.4,1467.2
Kitchener-Cambridge-Waterloo,895.7,906.2,938.5,1016.7,1013.6,1078.1,1069.0,1163.5,1312.4
London,849.2,866.3,875.3,911.7,957.4,1005.5,1044.5,1144.4,1181.6
Moncton,700.3,711.9,710.1,752.3,748.6,771.4,798.1,859.7,937.4
Montréal,747.7,748.5,789.1,796.7,823.9,839.6,866.1,914.7,942.0
Oshawa,956.2,994.5,1020.3,1071.7,1133.8,1208.9,1219.5,1290.8,1354.2
Ottawa-Gatineau,923.3,926.0,946.1,954.0,987.2,1019.2,1125.9,1176.9,1231.5
Peterborough,852.1,871.5,893.3,907.3,933.3,999.3,1038.9,1086.1,1139.1
Québec City,721.5,736.9,755.6,774.0,785.5,809.6,841.1,876.9,915.4
Regina,972.5,1022.3,1035.8,1062.2,1061.4,1067.5,1072.3,1100.4,1089.9
Saguenay,512.3,517.8,522.7,525.3,537.8,547.5,589.5,665.7,725.6
Saint John,658.2,647.1,670.2,670.2,677.0,695.8,723.8,751.9,805.4
Saskatoon,955.8,998.6,995.4,1022.1,998.4,1027.4,1055.7,1074.4,1110.2
Sherbrooke,560.0,573.4,578.6,601.1,601.4,605.5,625.5,664.8,698.6
St. Catharines-Niagara,819.8,826.9,848.3,892.4,934.3,958.7,1009.1,1104.1,1095.1
St. John's,761.4,794.9,835.1,819.4,809.9,831.0,842.1,860.1,887.7
Thunder Bay,807.4,843.6,887.7,889.6,901.5,980.4,1014.4,1037.2,1057.4
Toronto,1164.0,1179.3,1218.1,1259.5,1322.8,1396.9,1482.4,1575.9,1622.2
Trois-Riviéres,516.1,529.5,541.9,552.0,561.9,546.1,567.3,612.4,640.8
Vancouver,1191.9,1220.9,1276.5,1354.4,1433.9,1515.4,1605.6,1679.1,1717.8
Victoria,1013.7,1040.3,1068.9,1125.5,1207.7,1297.4,1388.9,1394.0,1452.7
Windsor,736.3,741.4,780.4,823.7,831.5,890.7,922.2,1047.2,1111.7
Winnipeg,855.6,885.2,920.6,947.9,1004.2,1069.6,1123.4,1158.7,1212.4
