DATE,VIXCLS
2005-01-03,14.08
2005-01-04,13.98
2005-01-05,14.09
2005-01-06,13.58
2005-01-07,13.49
2005-01-10,13.23
2005-01-11,13.19
2005-01-12,12.56
2005-01-13,12.84
2005-01-14,12.43
2005-01-17,.
2005-01-18,12.47
2005-01-19,13.18
2005-01-20,13.83
2005-01-21,14.36
2005-01-24,14.65
2005-01-25,14.06
2005-01-26,13.44
2005-01-27,13.24
2005-01-28,13.24
2005-01-31,12.82
2005-02-01,12.03
2005-02-02,11.66
2005-02-03,11.79
2005-02-04,11.21
2005-02-07,11.73
2005-02-08,11.60
2005-02-09,12.00
2005-02-10,11.51
2005-02-11,11.43
2005-02-14,11.52
2005-02-15,11.27
2005-02-16,11.10
2005-02-17,11.77
2005-02-18,11.18
2005-02-21,.
2005-02-22,13.14
2005-02-23,12.39
2005-02-24,11.57
2005-02-25,11.49
2005-02-28,12.08
2005-03-01,12.04
2005-03-02,12.50
2005-03-03,12.93
2005-03-04,11.94
2005-03-07,12.26
2005-03-08,12.40
2005-03-09,12.70
2005-03-10,12.49
2005-03-11,12.80
2005-03-14,12.39
2005-03-15,13.15
2005-03-16,13.49
2005-03-17,13.29
2005-03-18,13.14
2005-03-21,13.61
2005-03-22,14.27
2005-03-23,14.06
2005-03-24,13.42
2005-03-25,.
2005-03-28,13.75
2005-03-29,14.49
2005-03-30,13.64
2005-03-31,14.02
2005-04-01,14.09
2005-04-04,14.11
2005-04-05,13.68
2005-04-06,13.15
2005-04-07,12.33
2005-04-08,12.62
2005-04-11,11.98
2005-04-12,11.30
2005-04-13,13.31
2005-04-14,14.53
2005-04-15,17.74
2005-04-18,16.56
2005-04-19,14.96
2005-04-20,16.92
2005-04-21,14.41
2005-04-22,15.38
2005-04-25,14.62
2005-04-26,14.91
2005-04-27,14.87
2005-04-28,16.86
2005-04-29,15.31
2005-05-02,15.12
2005-05-03,14.53
2005-05-04,13.85
2005-05-05,13.98
2005-05-06,14.05
2005-05-09,13.75
2005-05-10,14.91
2005-05-11,14.45
2005-05-12,16.12
2005-05-13,16.32
2005-05-16,15.68
2005-05-17,14.57
2005-05-18,13.63
2005-05-19,13.32
2005-05-20,13.14
2005-05-23,12.95
2005-05-24,12.69
2005-05-25,12.58
2005-05-26,12.24
2005-05-27,12.15
2005-05-30,.
2005-05-31,13.29
2005-06-01,12.36
2005-06-02,11.84
2005-06-03,12.15
2005-06-06,12.28
2005-06-07,12.39
2005-06-08,12.70
2005-06-09,12.08
2005-06-10,11.96
2005-06-13,11.65
2005-06-14,11.79
2005-06-15,11.46
2005-06-16,11.15
2005-06-17,11.48
2005-06-20,11.47
2005-06-21,11.08
2005-06-22,11.05
2005-06-23,12.13
2005-06-24,12.18
2005-06-27,12.52
2005-06-28,11.58
2005-06-29,11.77
2005-06-30,12.04
2005-07-01,11.40
2005-07-04,.
2005-07-05,11.68
2005-07-06,12.27
2005-07-07,12.49
2005-07-08,11.45
2005-07-11,11.28
2005-07-12,10.95
2005-07-13,10.84
2005-07-14,10.81
2005-07-15,10.33
2005-07-18,10.77
2005-07-19,10.45
2005-07-20,10.23
2005-07-21,10.97
2005-07-22,10.52
2005-07-25,11.10
2005-07-26,10.99
2005-07-27,10.36
2005-07-28,10.52
2005-07-29,11.57
2005-08-01,12.08
2005-08-02,11.75
2005-08-03,11.83
2005-08-04,12.52
2005-08-05,12.48
2005-08-08,13.21
2005-08-09,12.40
2005-08-10,12.38
2005-08-11,12.42
2005-08-12,12.74
2005-08-15,12.26
2005-08-16,13.52
2005-08-17,13.30
2005-08-18,13.42
2005-08-19,13.42
2005-08-22,13.42
2005-08-23,13.34
2005-08-24,14.17
2005-08-25,13.73
2005-08-26,13.72
2005-08-29,13.52
2005-08-30,13.65
2005-08-31,12.60
2005-09-01,13.15
2005-09-02,13.57
2005-09-05,.
2005-09-06,12.93
2005-09-07,12.52
2005-09-08,12.93
2005-09-09,11.98
2005-09-12,11.65
2005-09-13,12.39
2005-09-14,12.91
2005-09-15,12.49
2005-09-16,11.22
2005-09-19,12.14
2005-09-20,12.64
2005-09-21,13.79
2005-09-22,13.33
2005-09-23,12.96
2005-09-26,13.04
2005-09-27,12.76
2005-09-28,12.63
2005-09-29,12.24
2005-09-30,11.92
2005-10-03,12.46
2005-10-04,13.20
2005-10-05,14.55
2005-10-06,14.96
2005-10-07,14.59
2005-10-10,15.55
2005-10-11,15.63
2005-10-12,16.22
2005-10-13,16.47
