"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Interest rates posted for selected products by the major chartered banks"

"DESCRIPTION"
"Weekly Wednesday, rates in percentage"

"LINK"
"https://www.bankofcanada.ca/?p=205791"

"SERIES"
"id","label","description"
"V80691311","Prime rate",""
"V80691333","1-year","Conventional mortgage"
"V80691334","3-year","Conventional mortgage"
"V80691335","5-year","Conventional mortgage"
"V80691339","1-year","Guaranteed investment certificates"
"V80691340","3-year","Guaranteed investment certificates"
"V80691341","5-year","Guaranteed investment certificates"
"V80691336","5-year personal fixed term",""
"V80691337","Daily Interest Savings (balances over $100,000)",""
"V80691338","Non-Chequable Savings Deposits",""

"OBSERVATIONS"
"date","V80691311","V80691333","V80691334","V80691335","V80691339","V80691340","V80691341","V80691336","V80691337","V80691338"
"1967-04-05","","","","","","","","","","4.50"
"1967-04-12","","","","","","","","","","4.50"
"1967-04-19","","","","","","","","","","4.50"
"1967-04-26","","","","","","","","","","4.50"
"1967-05-03","","","","","","","","","","4.50"
"1967-05-10","","","","","","","","","","4.50"
"1967-05-17","","","","","","","","","","4.50"
"1967-05-24","","","","","","","","","","4.50"
"1967-05-31","","","","","","","","","","4.50"
"1967-06-07","","","","","","","","","","4.50"
"1967-06-14","","","","","","","","","","4.50"
"1967-06-21","","","","","","","","","","4.50"
"1967-06-28","","","","","","","","","","4.50"
"1967-07-05","","","","","","","","","","4.50"
"1967-07-12","","","","","","","","","","4.50"
"1967-07-19","","","","","","","","","","4.50"
"1967-07-26","","","","","","","","","","4.50"
"1967-08-02","","","","","","","","","","4.50"
"1967-08-09","","","","","","","","","","4.50"
"1967-08-16","","","","","","","","","","4.50"
"1967-08-23","","","","","","","","","","4.50"
"1967-08-30","","","","","","","","","","4.50"
"1967-09-06","","","","","","","","","","4.50"
"1967-09-13","","","","","","","","","","4.50"
"1967-09-20","","","","","","","","","","4.50"
"1967-09-27","","","","","","","","","","4.50"
"1967-10-04","","","","","","","","","","4.50"
"1967-10-11","","","","","","","","","","4.50"
"1967-10-18","","","","","","","","","","4.50"
"1967-10-25","","","","","","","","","","4.50"
"1967-11-01","","","","","","","","","","4.50"
"1967-11-08","","","","","","","","","","4.50"
